ds,y,syl
2019.10.30,9433.35,-0.028487229
2019.10.31,9164.62,-0.001815678
2019.11.1,9147.98,0.011479037
2019.11.2,9252.99,0.005208046
2019.11.3,9301.18,-0.010215908
2019.11.4,9206.16,0.023016111
2019.11.5,9418.05,-0.011452477
2019.11.6,9310.19,0.003560615
2019.11.7,9343.34,-0.01488761
2019.11.8,9204.24,-0.047608493
2019.11.9,8766.04,0.004947502
2019.11.10,8809.41,0.025848496
2019.11.11,9037.12,-0.035333159
2019.11.12,8717.81,0.009602182
2019.11.13,8801.52,-0.004442414
2019.11.14,8762.42,-0.014847496
2019.11.15,8632.32,-0.020229788
2019.11.16,8457.69,0.002957072
2019.11.17,8482.7,0.002502741
2019.11.18,8503.93,-0.038563347
2019.11.19,8175.99,-0.006750253
2019.11.20,8120.8,-0.004801251
2019.11.21,8081.81,-0.057504445
2019.11.22,7617.07,-0.04341827
2019.11.23,7286.35,0.005171313
2019.11.24,7324.03,-0.056885349
2019.11.25,6907.4,0.032262501
2019.11.26,7130.25,0.004681463
2019.11.27,7163.63,0.050281771
2019.11.28,7523.83,-0.012338131
2019.11.29,7431,0.043933522
2019.11.30,7757.47,-0.025749374
2019.12.1,7557.72,-0.0205128
2019.12.2,7402.69,-0.012576509
2019.12.3,7309.59,-0.00175386
2019.12.4,7296.77,-0.014241918
2019.12.5,7192.85,0.028239154
2019.12.6,7395.97,0.02044627
2019.12.7,7547.19,-0.005612685
2019.12.8,7504.83,0.002339826
2019.12.9,7522.39,-0.02458926
2019.12.10,7337.42,-0.015899322
2019.12.11,7220.76,-0.002555133
2019.12.12,7202.31,-0.001825803
2019.12.13,7189.16,0.008722855
2019.12.14,7251.87,-0.025390692
2019.12.15,7067.74,0.006140577
2019.12.16,7111.14,-0.032568618
2019.12.17,6879.54,-0.038871785
2019.12.18,6612.12,0.10165726
2019.12.19,7284.29,-0.018317502
2019.12.20,7150.86,0.005497241
2019.12.21,7190.17,-0.00653253
2019.12.22,7143.2,0.051966906
2019.12.23,7514.41,-0.025594824
2019.12.24,7322.08,-0.009749962
2019.12.25,7250.69,-0.007995101
2019.12.26,7192.72,0.000233569
2019.12.27,7194.4,0.006884521
2019.12.28,7243.93,0.007887983
