ds,yhat
2018.2.17,1344.136574
2018.2.18,1344.136574
2018.2.19,1345.023318
2018.2.20,1345.285763
2018.2.21,1344.410117
2018.2.22,1343.129239
2018.2.23,1341.997355
2018.2.24,1341.997355
2018.2.25,1341.997355
2018.2.26,1337.101561
2018.2.27,1335.424299
2018.2.28,1333.437296
2018.3.1,1331.090942
2018.3.2,1328.959241
2018.3.3,1328.959241
2018.3.4,1328.959241
2018.3.5,1321.647457
2018.3.6,1319.417378
2018.3.7,1317.029107
2018.3.8,1314.445331
2018.3.9,1312.250058
2018.3.10,1312.250058
2018.3.11,1312.250058
2018.3.12,1305.851519
2018.3.13,1304.299943
2018.3.14,1302.772814
2018.3.15,1301.225633
2018.3.16,1300.232233
2018.3.17,1300.232233
2018.3.18,1300.232233
2018.3.19,1298.287251
2018.3.20,1298.4423
2018.3.21,1298.697196
2018.3.22,1298.983505
2018.3.23,1299.849961
2018.3.24,1299.849961
2018.3.25,1299.849961
2018.3.26,1303.383213
2018.3.27,1305.244367
2018.3.28,1307.104048
2018.3.29,1308.871023
2018.3.30,1308.871023
2018.3.31,1308.871023
2018.4.1,1308.871023
2018.4.2,1308.871023
2018.4.3,1320.03205
2018.4.4,1322.282569
2018.4.5,1324.229794
2018.4.6,1326.402627
2018.4.7,1326.402627
2018.4.8,1326.402627
2018.4.9,1331.620299
2018.4.10,1333.293857
2018.4.11,1334.605291
2018.4.12,1335.481014
2018.4.13,1336.472363
2018.4.14,1336.472363
2018.4.15,1336.472363
2018.4.16,1337.733437
2018.4.17,1338.037754
2018.4.18,1337.998704
2018.4.19,1337.568261
2018.4.20,1335.885869
2018.4.21,1335.885869
2018.4.22,1335.885869
2018.4.23,1329.752844
2018.4.24,1327.861153
2018.4.25,1325.783064
2018.4.26,1323.479297
2018.4.27,1321.530818
2018.4.28,1321.530818
2018.4.29,1321.530818
2018.4.30,1315.626388
2018.5.1,1314.136435
2018.5.2,1312.606535
2018.5.3,1310.983355
2018.5.4,1309.831418
2018.5.5,1309.831418
2018.5.6,1309.831418
2018.5.7,1309.831418
2018.5.8,1306.392588
2018.5.9,1305.937232
2018.5.10,1305.379106
2018.5.11,1305.261603
2018.5.12,1305.261603
2018.5.13,1305.261603
2018.5.14,1304.97782
2018.5.15,1305.278597
2018.5.16,1305.439302
2018.5.17,1305.375195
2018.5.18,1305.622761
2018.5.19,1305.622761
2018.5.20,1305.622761
2018.5.21,1305.632198
2018.5.22,1305.767174
2018.5.23,1305.638359
2018.5.24,1305.169122
2018.5.25,1304.905881
2018.5.26,1304.905881
2018.5.27,1304.905881
2018.5.28,1304.905881
2018.5.29,1302.195383
2018.5.30,1301.218105
2018.5.31,1299.87466
2018.6.1,1298.725075
2018.6.2,1298.725075
2018.6.3,1298.725075
2018.6.4,1294.080185
2018.6.5,1292.5898
2018.6.6,1290.836637
2018.6.7,1288.764625
2018.6.8,1286.938785
2018.6.9,1286.938785
2018.6.10,1286.938785
2018.6.11,1280.607355
2018.6.12,1278.671836
2018.6.13,1276.53082
2018.6.14,1274.126239
2018.6.15,1272.020567
2018.6.16,1272.020567
2018.6.17,1272.020567
2018.6.18,1265.136881
2018.6.19,1263.10348
2018.6.20,1260.903655
2018.6.21,1258.477677
2018.6.22,1256.387027
2018.6.23,1256.387027
2018.6.24,1256.387027
2018.6.25,1249.767932
2018.6.26,1247.899872
2018.6.27,1245.907561
2018.6.28,1243.734183
2018.6.29,1241.944419
2018.6.30,1241.944419
2018.7.1,1241.944419
2018.7.2,1236.550062
2018.7.3,1235.207047
2018.7.4,1233.801465
2018.7.5,1232.277165
2018.7.6,1231.198361
2018.7.7,1231.198361
2018.7.8,1231.198361
2018.7.9,1228.283316
2018.7.10,1227.86651
2018.7.11,1227.425302
2018.7.12,1226.894228
2018.7.13,1226.826774
2018.7.14,1226.826774
2018.7.15,1226.826774
2018.7.16,1226.92953
2018.7.17,1227.46718
2018.7.18,1227.9304
2018.7.19,1228.239037
2018.7.20,1228.932286
2018.7.21,1228.932286
2018.7.22,1228.932286
2018.7.23,1230.713165
2018.7.24,1231.572211
2018.7.25,1232.223898
2018.7.26,1232.582889
2018.7.27,1233.185594
2018.7.28,1233.185594
2018.7.29,1233.185594
2018.7.30,1233.860093
2018.7.31,1234.088711
2018.8.1,1233.993826
